Colour Space Analysis,,,,,,,,,
,,,,,,,,,
10/17/2025,,,,,,,,,
,,,,,,,,,
Date Measured,10/17/2025,,,,,,,,
,,,,,,,,,
Plate,Test Stamp Plate A,,,,,,,,
Die,Commemorative Die #47,,,,,,,,
Date Registered,10/17/2025,,,,,,,,
Described Colour,Multi-color commemorative stamp design,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,W x H,Area,,,,,,,
No of Pixels,960000,,,,,,,,
Sample#,B,SD,1/SD²,G,SD,1/SD²,R,SD,1/SD²
1,174.9,78.47,0.000162,186.3,84.68,0.000139,225.0,26.77,0.001396
2,204.9,26.91,0.001381,196.2,67.54,0.000219,190.1,86.90,0.000132
3,174.9,78.44,0.000163,206.2,50.41,0.000394,195.0,78.36,0.000163
4,175.1,78.32,0.000163,221.1,24.87,0.001616,230.0,18.40,0.002955
5,200.0,35.13,0.000810,191.2,76.28,0.000172,210.0,52.34,0.000365
6,175.0,78.40,0.000163,206.2,50.32,0.000395,229.9,18.42,0.002949
Ave,184.1,62.61,0.000255,201.2,59.02,0.000287,213.3,46.86,0.000455
8-bit,184,,,201,,,213,,
B-G,-17.1,62.61,0.000,,,,,,
G-R,-12.1,59.02,,,,,,,
B-R,-29.2,,,,,,,,
,,,,,,,,,
Sample#,C,SD,1/SD²,Y,SD,1/SD²,M,SD,1/SD²
1,30.0,26.77,0.001396,68.7,84.68,0.000139,80.1,78.47,0.000162
2,64.9,86.90,0.000132,58.8,67.54,0.000219,50.1,26.91,0.001381
3,60.0,78.36,0.000163,48.8,50.41,0.000394,80.1,78.44,0.000163
4,25.0,18.40,0.002955,33.9,24.87,0.001616,79.9,78.32,0.000163
5,45.0,52.34,0.000365,63.8,76.28,0.000172,55.0,35.13,0.000810
6,25.1,18.42,0.002949,48.8,50.32,0.000395,80.0,78.40,0.000163
Ave,41.7,46.86,0.000455,53.8,59.02,0.000287,70.9,62.61,0.000255
,,,,,,,,,
C-Y,-12.1,46.86,,,,,,,
Y-M,-17.1,59.02,,,,,,,
C-M,-29.2,,,,,,,,
